text,label
600 goals for my main man Messi in all competitions ... Man has serious inspiration to make every dream happen 😍🐐 USER USER USER #ChampionsLeague #TakeABow #Messi #MyMainMan #inspiration #FCB #LFC,joy
Happy World Book Day #WorldBookDay 🎶Nwanne Wa  USER   On #FLORIDE ✌️💃🕴️#CelebrityTwosday  with USER 💅X USER 👟,joy
oh shit now we have 26  #LaLiga,surprise
Wish my teams were playing in the finals than semis... #ChampionsLeague #BarcellonaLiverpool USER USER,sadness
Million Dollar Smile..  GOAT got his 10th League Title for USER #messi #LaLiga #BarçaLevante https://t.co/WRqXFtv5X6,joy
"On #WorldBookDay, be inspired by these amazing books by and about refugees! Our reading list with USER 📚  https://t.co/80DOcykOdf",joy
"Beloved books 📚. The gateway to history, discovery, cultures, other worlds and perspectives. From these early favourites to the shelves and stacks that are never more than a reach away, thank you. #WorldBookDay https://t.co/ShMANqxkgD",joy
Happy #CanadaBookDay! Only 2 more days to go until the Children's Hospital Book Market at USER. The Book Market is one of the biggest fundraisers for the Children's Hospital Foundation. Read more about the impact of Book Market: https://t.co/gR0XgBV4Sv #worldbookday https://t.co/vQJ6lQ4ffa,joy
The real question we’re now all asking is how the hell are they going to make another 3 episodes after that?? #GameOfThrones #NotToday #GoTS8E3,surprise
My Gosh 💔💔 Pain in one part of the body ... whole body suffers pain 😭😭😭 #NotreDameCathedralFire #NotreDame #NotreDameEnLlamas https://t.co/AQyALw03Px,sadness
"I actually cried at the end, you all thought a male would be the hero but no Arya to the rescue! My hero 🤩 #GameofThrones #BattleForWinterfell #Arya #AryaStark #MaisieWilliams",surprise
"1. we waited 8 seasons before we can finally see this battle. And is it all over? I mean, #GOTS8E3 was a  masterpiece but I didn't expect that #NightKing would die so fast...what now?  2. If only #Arya had arrived earlier #Theon would still be alive 😭  #GameofThrones https://t.co/L6vpYrIWgi",surprise
What is happening now in #Venezuela is unacceptable!  The #Elite of this world is killing the country (US embargo is active now) and will come as the saviors as soon as Mauduro will be down because he doesn't want to play their game!,disgust
i cry for my brothers in Paris and for those affected by #NotreDameCathedralFire to give my support i will do 1 benchpress for each year it has stood #inspo #gym,sadness
Arya is awesome... That's all I have to say... #GameofThrones #NotToday,joy
Only the 5th best player in the world has gone and fucked Liverpool 🤷🏻‍♂️😆 #championsleague #messi https://t.co/NL7o5Z5s8I,joy
#WorldBookDay: Ten memorable scenes from Hindi cinema where books play a starring role https://t.co/l2BPyuMDhj https://t.co/OL6DcZgFeS,
Wow! Shits bout to get real folks!  https://t.co/H9a9MGi2jc  #MAGA #QAnon #WWG1WGA #TheStorm #TheGreatAwakening #FollowTheWhiteRabbit #Venezuela #VenezuelaSeRespeta,surprise
#GretaThunberg should absolutely be nominated for the #NobelPeacePrize.  There is no greater threat to the long term future of #TheGlobalRace than the unsustainable economic model we are trying to force onto our #children. https://t.co/qR9QRugphj,joy
#Endgame and #GameofThrones both in the one night..... I wasn't prepared for such an emotional rollercoaster!,joy
"Great ball by Alba, wonderful run &amp; finish by Suarez 1-0 #BARLIV #ChampionsLeague",joy
"What is happening right now in #Venezuela, in addition to its implications for freedom and prosperity in that country, will have huge ripple effects across the region, especially in allies Nicaragua and Cuba",fear
"USER What more of a civil war than the rampant violence on the streets, everyday? Do you happen to know how many violent deaths there are in #Venezuela every day? Not even counting the people dying in hospitals due to lack of medicine and food. But hey, we're resilient, let's wait!",anger
