original index,context,text,crowdsourced,dave,deepseek-r1:14b,llama3.1:8b-instruct-q8_0,gpt-4o-mini,o1-mini
558,GretaThunberg,New translation project! So excited! #scenerurhjärtat #gretathunberg #svantethunberg #malenaernman #beataernman #polaris https://t.co/mWjslBmm6J,joy,joy,joy,joy,joy,joy
6441,Venezuela,I’ve had CNN in the background most of the day and haven’t seen one person raise the specter that regime change in #Venezuela might not work out so well.,disgust,disgust,surprise,anger,fear,fear
2859,NotreDame,I am sad about what happened to Notre-Dame because I love art and historical buildings but I still don't get the way society is setting priorities.  #NotreDameCathedralFire #CycloneIdai   USER https://t.co/EsXZKJRMZx,sadness,sadness,sadness,sadness,sadness,sadness
5772,NotreDame,"The Left: Burn! Burn you symbol of Christian crusaders and colonialism! Burn! Burn! Burn!  Also the Left: How dare you insinuate this heinous crime could have been perpetrated by a particular group of people, you fucking bigot!!!  #NotreDameCathedralFire #NotreDame",anger,anger,anger,anger,anger,anger
6510,GameOfThrones,ARYA OH MY GOD YOU FUCKING BAD ASS BITCH I LOVE YOU #GameofThrones,joy,joy,joy,joy,joy,joy
3869,Venezuela,"USER USER USER well, there were plenty of ""evidence"" that #Iraq had #WMDs, and #Communists invaded #VietNam and attacked #America..🇺🇸😉  Even #Mueller would believe what Pompeo said about #Venezuela..🤣  #TuesdayThoughts #resistance #resist #MAGA #military #VenezuelaCoup #LibaCoup #SudanCoup https://t.co/BkhOayUNAa",disgust,anger,disgust,anger,disgust,anger
3511,ChampionsLeague,"Didn’t deserve to lose that 3-0, but one team took their chances and the other didn’t. Turning around a three goal deficit in 90 minutes seems unlikely, but then we scored three in six minutes in a very big #ChampionsLeague game once... #LFC #BARLIV #UCL",joy,sadness,sadness,joy,sadness,anger
2814,ChampionsLeague,600 goals for my main man Messi in all competitions ... Man has serious inspiration to make every dream happen 😍🐐 USER USER USER #ChampionsLeague #TakeABow #Messi #MyMainMan #inspiration #FCB #LFC,joy,joy,joy,joy,joy,joy
7120,WorldBookDay,Happy World Book Day #WorldBookDay 🎶Nwanne Wa  USER   On #FLORIDE ✌️💃🕴️#CelebrityTwosday  with USER 💅X USER 👟,joy,joy,joy,joy,joy,joy
2279,LaLiga,oh shit now we have 26  #LaLiga,surprise,surprise,surprise,anger,anger,anger
990,ChampionsLeague,Wish my teams were playing in the finals than semis... #ChampionsLeague #BarcellonaLiverpool USER USER,sadness,sadness,sadness,joy,sadness,sadness
7083,LaLiga,Million Dollar Smile..  GOAT got his 10th League Title for USER #messi #LaLiga #BarçaLevante https://t.co/WRqXFtv5X6,joy,joy,joy,joy,joy,joy
31,WorldBookDay,"On #WorldBookDay, be inspired by these amazing books by and about refugees! Our reading list with USER 📚  https://t.co/80DOcykOdf",joy,joy,joy,joy,joy,joy
4854,WorldBookDay,"Beloved books 📚. The gateway to history, discovery, cultures, other worlds and perspectives. From these early favourites to the shelves and stacks that are never more than a reach away, thank you. #WorldBookDay https://t.co/ShMANqxkgD",joy,joy,joy,joy,joy,joy
974,WorldBookDay,Happy #CanadaBookDay! Only 2 more days to go until the Children's Hospital Book Market at USER. The Book Market is one of the biggest fundraisers for the Children's Hospital Foundation. Read more about the impact of Book Market: https://t.co/gR0XgBV4Sv #worldbookday https://t.co/vQJ6lQ4ffa,joy,joy,joy,joy,joy,joy
3152,GameOfThrones,The real question we’re now all asking is how the hell are they going to make another 3 episodes after that?? #GameOfThrones #NotToday #GoTS8E3,anger,surprise,surprise,joy,surprise,anger
6959,NotreDame,My Gosh 💔💔 Pain in one part of the body ... whole body suffers pain 😭😭😭 #NotreDameCathedralFire #NotreDame #NotreDameEnLlamas https://t.co/AQyALw03Px,surprise,sadness,sadness,sadness,sadness,sadness
45,GameOfThrones,"I actually cried at the end, you all thought a male would be the hero but no Arya to the rescue! My hero 🤩 #GameofThrones #BattleForWinterfell #Arya #AryaStark #MaisieWilliams",joy,surprise,joy,joy,joy,joy
6559,GameOfThrones,"1. we waited 8 seasons before we can finally see this battle. And is it all over? I mean, #GOTS8E3 was a  masterpiece but I didn't expect that #NightKing would die so fast...what now?  2. If only #Arya had arrived earlier #Theon would still be alive 😭  #GameofThrones https://t.co/L6vpYrIWgi",sadness,surprise,sadness,sadness,sadness,sadness
1824,Venezuela,What is happening now in #Venezuela is unacceptable!  The #Elite of this world is killing the country (US embargo is active now) and will come as the saviors as soon as Mauduro will be down because he doesn't want to play their game!,disgust,disgust,anger,anger,anger,anger
5744,NotreDame,i cry for my brothers in Paris and for those affected by #NotreDameCathedralFire to give my support i will do 1 benchpress for each year it has stood #inspo #gym,sadness,sadness,sadness,sadness,sadness,sadness
2577,GameOfThrones,Arya is awesome... That's all I have to say... #GameofThrones #NotToday,joy,joy,joy,joy,joy,joy
971,ChampionsLeague,Only the 5th best player in the world has gone and fucked Liverpool 🤷🏻‍♂️😆 #championsleague #messi https://t.co/NL7o5Z5s8I,disgust,joy,surprise,joy,joy,
4724,WorldBookDay,#WorldBookDay: Ten memorable scenes from Hindi cinema where books play a starring role https://t.co/l2BPyuMDhj https://t.co/OL6DcZgFeS,disgust,,joy,joy,joy,joy
4291,Venezuela,Wow! Shits bout to get real folks!  https://t.co/H9a9MGi2jc  #MAGA #QAnon #WWG1WGA #TheStorm #TheGreatAwakening #FollowTheWhiteRabbit #Venezuela #VenezuelaSeRespeta,disgust,surprise,surprise,,surprise,fear
1313,GretaThunberg,#GretaThunberg should absolutely be nominated for the #NobelPeacePrize.  There is no greater threat to the long term future of #TheGlobalRace than the unsustainable economic model we are trying to force onto our #children. https://t.co/qR9QRugphj,fear,joy,fear,,joy,fear
5193,GameOfThrones,#Endgame and #GameofThrones both in the one night..... I wasn't prepared for such an emotional rollercoaster!,surprise,joy,surprise,joy,joy,surprise
5930,ChampionsLeague,"Great ball by Alba, wonderful run &amp; finish by Suarez 1-0 #BARLIV #ChampionsLeague",joy,joy,joy,joy,joy,joy
2285,Venezuela,"What is happening right now in #Venezuela, in addition to its implications for freedom and prosperity in that country, will have huge ripple effects across the region, especially in allies Nicaragua and Cuba",fear,fear,fear,,fear,fear
2638,Venezuela,"USER What more of a civil war than the rampant violence on the streets, everyday? Do you happen to know how many violent deaths there are in #Venezuela every day? Not even counting the people dying in hospitals due to lack of medicine and food. But hey, we're resilient, let's wait!",disgust,anger,sadness,anger,anger,sadness
