original index,context,text,labels,llama3.1:8b-instruct-q8_0,deepseek-r1:14b,gpt-4o-mini,o3-mini
105,2700,NotreDame,A monument to human creation/achievement has been lost. That it's been used as a house of worship is irrelevant. That some in our community are behaving as reactionary tribalists shouldn't guide our response. Condolences. #NotreDame #NotreDameCathedralFire #NotreDameCathedral https://t.co/ZyrlwFNXOR,sadness,sadness,sadness,sadness,sadness
106,3732,GameOfThrones,Love spending the whole time squinting even after adjusting the TV brightness. #GameOfThrones #CantSeeShit,disgust,disgust,anger,anger,anger
107,1401,GameOfThrones,"#GameOfThrones lost many beloved characters during Sunday night’s episode, but one stood out from the rest. https://t.co/DAD8Lxmwzd #girlpower",sadness,sadness,sadness,sadness,sadness
108,4341,GretaThunberg,USER USER Yes !! #Parents4future in support of #Fridaysforfuture and #SchoolStrike4Climate #GretaThunberg #globalstrike.,joy,joy,joy,joy,joy
109,3346,LaLiga,🏆🏆🏆🏆🏆🏆🏆🏆🏆🏆🐐  Leo #Messi has claimed his 10th #LaLiga title as #Barcelona defeated #Levante 1-0  ... #Messi with the decisive 2nd half goal  https://t.co/rSerk0vq7m https://t.co/SJqFuR5iUT,joy,joy,joy,joy,joy
110,2523,GretaThunberg,We should all be reported for our Climate Change denial eventually. The politicising of the children is a good thing. #GretaThunberg #orwellian #thoughtcrime https://t.co/tHw2ec65vK,disgust,anger,anger,anger,anger
111,22,GretaThunberg,👧 Who is #GretaThunberg? One of the world’s 100 most influential people? A girl encouraged by the Pope to “keep doing what she’s doing.”? A Noble Peace Prize nominee? The new Che Guevara? 🛑 Or just a child abused by media? https://t.co/oFOwxuE7Lq USER USER_Replica,disgust,anger,anger,disgust,anger
112,3457,LaLiga,Leo Leo! Best player. So it's done. #LaLiga,joy,joy,joy,joy,joy
113,4550,NotreDame,Imagine how quickly #FlintMichigan would have water if USER donated the same $5M pledged to #NotreDameCathedralFire. Imagine what brilliant architects we’d inspire if we cared enough to give folks the resources they deserve; are OWED. #ChildrenAreChurches #defendthesacred,anger,anger,anger,anger,anger
114,4189,Venezuela,USER Thanks for the update. Praying for the ppl of #Venezuela tonight.,sadness,sadness,sadness,sadness,sadness
115,3009,ChampionsLeague,Best of luck to USER who are taking on USER tonight in the #ChampionsLeague semi-final! 🔴⚽️  We're looking forward to welcoming Barcelona fans to Liverpool next week! 🙌 https://t.co/AIWUQ7ySq1,joy,joy,joy,joy,joy
116,5964,LaLiga,The Champion of Spain!  Congratulations USER  #LaLiga,joy,joy,joy,joy,joy
117,287,NotreDame,The amount of people complaining about people being sad about the Notre Dame is absurdly worrying. Why can't you feel sad that a part of history (and art/architecture not to mention religious to some) has been irreversibly damaged? #NotreDameCathedralFire #NotreDame,disgust,anger,anger,anger,anger
118,3794,WorldBookDay,Happy #WorldBookDay! If you are currently looking for something to read why not check out these 5 books that USER suggests every IT Professional should read.   https://t.co/F0tL0S1Kbb #professionaldevelopment #books #education,joy,joy,joy,joy,joy
119,4803,NotreDame,"I know my pics of Notre Dame can't do its beauty justice, but I'm posting to mourn with the collective over an impossible loss. #NotreDameCathedralFire https://t.co/JKR7gu8Fa2",sadness,sadness,sadness,sadness,sadness
120,2355,ChampionsLeague,Very disappointed Salah failed to net that. You just have to score or at least hit the target. What more can you say about Messi. Ridiculous man. Ridiculous career. #BARLIV #ChampionsLeague,disgust,disgust,sadness,anger,anger
121,5433,WorldBookDay,"Wow! And they don't even have to sell coffee, cards, or socks. Buy a book today -- and read it! #WorldBookDay https://t.co/qBpv52AlRW",joy,joy,surprise,joy,joy
122,3553,ChampionsLeague,Wow MESSI what a goal 🔥🔥🔥#ChampionsLeague,joy,joy,surprise,joy,surprise
123,2508,LaLiga,King of #LaLiga! Substitute #Messi delivers title to #Barca with Levante win #FanaticalFootballClub #FanaticalFanClub #WhereWeShootAndYouScore #FFCNewsUpadate https://t.co/rpL0bdIvR2,joy,joy,joy,joy,joy
124,3229,ChampionsLeague,What a night for #Barcelona! #Messi reaches 600 career goals by scoring a free kick out of this world and the #Catalans take the advantage in first leg of 1/2 final against #Liverpool!   #ucl #BarçaLFC #championsleague https://t.co/gAOFKZsDt5,surprise,joy,joy,joy,joy
125,1301,GameOfThrones,Game of thrones. Episode 3. No comment. Nothing at all. Just fucking amazing. #GameofThrones,joy,joy,joy,joy,joy
126,7022,GameOfThrones,"I'm generally really against spoilers - I can't hear a tiny detail without my brain immediately extrapolating everything around it - but still, the race to catch up on stuff before someone well-meaning 'thinks' they're not spoiling something is REALLY STRESSFUL... #GameofThrones",anger,fear,fear,fear,fear
127,6621,WorldBookDay,In honor of #WorldBookDay 📚📖 Go get #BeforeWeWereWicked by Eric Jerome Dickey💕 out on all platforms. You won’t regret it.🤗😉 https://t.co/G2KEJqOhHu,joy,joy,joy,joy,joy
128,4678,NotreDame,I want to visit this beautiful museum 😢 it was museum not just another church #NotreDameCathedralFire,sadness,sadness,sadness,sadness,sadness
129,2499,WorldBookDay,To read and write stories is my greatest joy. #WorldBookDay https://t.co/PB3xIfZ0wd,joy,joy,joy,joy,joy
130,4958,GretaThunberg,Happy 90th Birthday Joanna Macy! 💐 Listen to the conversation that I had with her for the USER here: https://t.co/pdOHyUc7AT …   #thegreatturning #ClimateStrike #GretaThunberg #postcapitalism #podcast #FridayMotivation #workthatreconnects https://t.co/saf58TaOoK,joy,joy,joy,joy,joy
131,6614,ChampionsLeague,I cant wait for the GIF of Klopps face after that ridiculous free kick #BARLIV #ChampionsLeague,surprise,joy,surprise,joy,joy
132,550,NotreDame,.USER branded 'almighty half wit' by West Yorkshire fire chief USER for this 'ludicrous' tweet #NotreDameCathedralFire https://t.co/ZktPthFtNw,disgust,anger,anger,anger,anger
133,545,LaLiga,We are the champions🏆🔥  Messi scores the winner 👽 🐐 #LaLiga 26 #BarçaLevante #forçabarça,joy,joy,joy,joy,joy
134,1590,NotreDame,"Take a look at how our team sensitively restored this historic building to create new retail space whilst preserving the detail, character &amp; history.  https://t.co/r14gji5YaS #conservation #restoration #StokeOnTrent #SenseofUnity #NotreDameCathedralFire https://t.co/SKTXxeger5",joy,joy,joy,joy,joy
135,5073,NotreDame,It’s amazing how quickly people can collect so much money to fix a building when there is so much pain and suffering in the world #NotreDameCathedralFire   USER https://t.co/jY8RLm9YoC,disgust,anger,surprise,disgust,anger
136,3602,LaLiga,"What an unbelievable evening at the Camp Nou  #Messi was a joy to watch. The worlds greatest player.  To play, to watch that electric slalom and to score the winner that clinches the #LaLiga title for #Barca  An absolute privallege 😍 https://t.co/OmBTwHTY5q",joy,joy,joy,joy,joy
137,376,NotreDame,USER Thank you for your $5 million donation to rebuild #NotreDameCathedralFire https://t.co/Dx3H7ZzRlq,joy,joy,joy,joy,joy
138,6945,NotreDame,Good news regarding our #pollinator friends:https://t.co/2ZhcBQfhIe  #NotreDameCathedralFire,joy,joy,joy,joy,joy
139,3233,Venezuela,I sure hope the #Millennials &amp; #GenX are paying attention to what is going on in Socialist #Venezuela right now. THIS IS #socialism you guys! THIS is what eventually happens!  USER and USER are radicals who will destroy us! Why do u think YOUNG Venezuelans are protesting? https://t.co/QWmwe06po6,anger,anger,anger,anger,anger
140,2515,ChampionsLeague,"If he decides to win, he will win. #ChampionsLeague #BarcelonaLiverpool USER",joy,joy,joy,joy,joy
