text,dave,tim,jacob,fgcu_combined
"Same here. And I really dislike strangers and groups, so groups of strangers are a next-level nightmare. ",fear,fear,fear,fear
"Because, “nah you guys go ahead”",neutral,neutral,neutral,neutral
Coincidence vs correlation vs causation,anger,neutral,neutral,neutral
I dislike [NAME] more and more. Big ego and small feet.,disgust,anger,anger,anger
My [NAME]. If only,anger,anger,fear,anger
Here’s hoping this ends soon lol,sadness,sadness,anger,sadness
Feeling the hatred towards that person I get. Actually running them off the road and holding them at gunpoint? No way. No way to justify that.,anger,anger,disgust,anger
I'm excited as a Lions fan.,joy,joy,joy,joy
If you use one of those two I automatically hate you,disgust,anger,disgust,disgust
"No seriously, why do you have the Daily Mail app on your phone?",disgust,surprise,surprise,surprise
Whoever told you that is lying.,anger,anger,anger,anger
"Where exactly is the irony? His name is not [NAME], and the title, bio, and picture contain no related jokes. ",surprise,surprise,surprise,surprise
This is currently my situation with Metal Gear Solid,neutral,neutral,neutral,neutral
"Go ahead and take them panties off too, we need this OT goal.",joy,fear,fear,fear
"No, I definitely understand that feel and empathize. That can be hard to deal with. How have you been as of late?",sadness,joy,sadness,sadness
Thanks! There are so many resources available. Thank you for telling me about one that actually helped you,joy,joy,joy,joy
Haha thanks for the warning but we met with her irl before :D,joy,joy,joy,joy
That is one big pile of cringe.,disgust,disgust,disgust,disgust
"I didn't delete it. Your moderators did. But that's what [NAME] do, they ",anger,anger,neutral,anger
I'm not really interested in collecting them but I do enjoy watching videos of people who restore old hotwheels.,joy,joy,joy,joy
but time is meaningless,neutral,sadness,sadness,sadness
"Wow, you weren't instantly downvoted hundreds of times. The omniscum must have had a salad once and got a protein deficancy.",disgust,disgust,surprise,disgust
You weren’t supposed to know. You’re not psychic. He’s being unreasonable,anger,anger,anger,anger
I can’t believe I’m agreeing with [NAME].,surprise,disgust,surprise,surprise
Now that you live alone you don't have money left to buy a dishwasher,sadness,sadness,neutral,sadness
I’m super proud of him. Great guy!,joy,joy,joy,joy
This is pretty bad advice. Do not use dreams own encryption. And do not use things such as igolder,disgust,anger,anger,anger
"Mail Call, great show, have all of 'em preserved for history. RIP",joy,sadness,sadness,sadness
Would be fun if our sun was like this :3,joy,joy,joy,joy
I totally agree with you. Porn is unnatural and creates honorless cuckolds.,disgust,disgust,disgust,disgust
"Oh wow okay, where can I get a wind proof lining beaning or scarf? And do I have to cover my eyes or anything?",surprise,surprise,surprise,surprise
Damn he has a kid with evan rachel wood too. He gets all the honies.,joy,sadness,joy,joy
"I am only sharing what my friends said, what their experience was. I found that a bit surprising.",surprise,surprise,surprise,surprise
You’ve never shit yourself as an adult?? If an adult can then a kid definitely can,surprise,surprise,surprise,surprise
The best part of adult snow days is no make-up!,joy,joy,joy,joy
don't we all hate them?,surprise,surprise,surprise,surprise
"Thanks? Lol. Pairing [NAME] or [NAME] with [NAME], defensively, though? Yikes, to say the least.",disgust,fear,disgust,disgust
No doubt would start at wing. We need help there and it would help ease him in,neutral,fear,joy,
The comment thread is a hot mess and wouldnt be out of place in 2016. How do things not change....,disgust,anger,disgust,disgust
"I would like a link as well, please. :)",joy,joy,joy,joy
hit or miss would anybody care or miss huh..? aint nobody love me and ma dad also left me yuh...,sadness,sadness,sadness,sadness
"Recover well. (Argh, my english is too terrible 🇲🇫)",joy,joy,joy,joy
"GOW always had combat challenges, they just inegrated it more seemlessly this time, instead of having it in a seperate mode in the menu.",neutral,anger,neutral,neutral
That's great! You got this!,joy,joy,joy,joy
Ohh it gets even more interesting:,joy,joy,surprise,joy
What goes up must come down.,neutral,neutral,neutral,neutral
Who the fuck leaves a hot iron on the couch,anger,anger,anger,anger
Has anyone else realized that there are 16 [NAME] on this glorious movie poster?,joy,joy,surprise,joy
I feel like they missed a good opportunity to make the track in the shape of Texas.,sadness,sadness,neutral,sadness
AE think that's looking harder and harder to defend?,anger,anger,surprise,anger
Done it since I was a kid I was very edgy,sadness,sadness,neutral,sadness
"Oh, a crow... Doh!",surprise,joy,surprise,surprise
Ugh I am in this same place right now. Dating a husband whose wife calls all the shots. I feel for you.,sadness,sadness,sadness,sadness
Big thanks dude! This will really help me out,joy,joy,joy,joy
DAE hate unnecessarily salty people like OP?,anger,anger,surprise,anger
"Heads up guys before you scrutinize me, Yes I know it's ED not ER apologies in advance :)",fear,sadness,fear,fear
The only thing I find disconcerting about this is that you use tongs to stir the pan.,fear,surprise,anger,
Omg saucepan what a daring and unconventional look!!!11,disgust,joy,joy,joy
LOL at this question! If he follows the sub...just read the topics for opinions! I call BS!,anger,anger,anger,anger
"And people try to hold that against [NAME] when they should hold that against the Packers organization and Front Office...Their Front Office stopped trying, not [NAME].",anger,anger,anger,anger
"Don't worry, nobody expects much from you people anyways.",disgust,anger,disgust,disgust
I'm just really sad all that cake was wasted.,sadness,sadness,sadness,sadness
The myth is about selling shirts. Signing [NAME] opens up much more money making opportunities like commercials.,neutral,anger,neutral,neutral
Australian here. I hereby agree that this does in fact provoke nightmares.,fear,fear,fear,fear
I wouldn't be surprised if the Cheetos dust was coming out of his sweat.,disgust,disgust,disgust,disgust
"Good job! Next, I recommend going NO contact.",joy,joy,anger,joy
[NAME] also tends to out vote [NAME] in polls in my experience,neutral,neutral,neutral,neutral
AND KEEP ACKBAR,fear,anger,anger,anger
Man I wish they wouldn’t,fear,fear,anger,fear
"I mean, [NAME] really is downplaying the guys’ friendship. That’s suspect to me.",fear,fear,surprise,fear
Love the cheese!,joy,joy,joy,joy
Damn we needed that layup,sadness,sadness,sadness,sadness
Mr. [NAME]! Nooooo!,sadness,sadness,sadness,sadness
Weird but interesting nonetheless.,surprise,surprise,surprise,surprise
"Lmao, this guy is a tool.",disgust,anger,anger,anger
"Sicko mode is on a whole new level, it cant be compared.",joy,joy,joy,joy
Such a cool pic! Really wish the moon was in the dead middle though 🙃🙃,joy,joy,joy,joy
If it weren't already so delayed,anger,sadness,anger,anger
"Im not in a hurry, its my goal for brawlhalla. But after hearing how many hours people have, its gonna be a long journey",surprise,fear,fear,fear
"If he saw it as something regrettable and possibly embarrassing, and has grown, eh. We all have something embarrassing in our past.",joy,joy,neutral,joy
"Liberal circlejerk “ o ya those conservatives suck” 10,000 upvotes",disgust,anger,anger,anger
Them or me? I like to catch up on it in the afternoon and drinking helped with the last few.,neutral,sadness,surprise,
I stopped watching after I had to suffer through a whole episode without [NAME] removing his shirt,anger,sadness,disgust,
ift yourself up on your feet! Let's get it on!,joy,joy,joy,joy
I've been there. It's one of the most diverse places on Earth.,joy,joy,joy,joy
I don't think that's how shadowy military organizations work [NAME].,anger,anger,surprise,anger
"*""Wow""*",surprise,anger,joy,
Why are they asking women and nonwhites specifically?,anger,anger,surprise,anger
This thread was actually inspired by one of your comments,joy,neutral,neutral,neutral
Oh. Well then.,surprise,sadness,sadness,sadness
Looks like modern art tbh but its good,joy,sadness,joy,joy
My 2 year old loves Word Party. Story Bots is another good Netflix option.,joy,joy,joy,joy
"[NAME] fan here, He did trade [NAME], it was for a 2018 4th and 2019 7th.",neutral,neutral,neutral,neutral
He really do be like that.,joy,joy,neutral,joy
Lol always a creepy mike,joy,fear,joy,joy
“Start caring about Reddit downvotes” has to be the weirdest life advice I’ve received in years.,surprise,anger,surprise,surprise
Omg lmfao!!,joy,joy,joy,joy
"Especially given today's hyperawareness of sexual harassment, it seems like the smart thing to do, to me.",fear,neutral,fear,fear
the act of using private companies as platforms to push indoctrination is no less vile than state run companies,disgust,disgust,disgust,disgust
It would be a crime to not invite him.,joy,anger,joy,joy
"LOL yes, this guy might not be too bright. ",joy,anger,anger,anger
Hahaha I was gonna put one of those but I couldn’t remember what they were,joy,surprise,surprise,surprise
I tried at a joke that relates to the post...,sadness,sadness,neutral,sadness
"Thanks, it was no effort at all.",joy,joy,joy,joy
"I used to be subscribed to [NAME] channel. I know we all have troubled pasts, but man...",disgust,sadness,disgust,disgust
No!!! I love emojis 😎😎😁😁😁😁💖🎉,joy,fear,joy,joy
Yeah my guess at this point is either a 2 year bridge or 8x8.,neutral,neutral,neutral,neutral
I like where you’re going with this....,joy,joy,joy,joy
Ugh. What a way to go.,sadness,sadness,anger,sadness
"YES [NAME], we're rooting for you! 🎉🎉",joy,joy,joy,joy
"This picture is a prime example that [NAME] are intolerant douchebags who will always demonize wealth, fame, and entertainment.",anger,anger,anger,anger
The hardship of having the future meet the present. (or something),sadness,sadness,anger,sadness
Omg it’s like you’re taking the words from my mind.,joy,surprise,surprise,surprise
i still remember by my first dodger game in 2001,joy,joy,joy,joy
Expect the unexpected [NAME] funding secured.,surprise,joy,surprise,surprise
I rarely like or comment on YouTube. But I make hella playlists so I guess I use it more as a tool than a community.,neutral,surprise,neutral,neutral
"35k? That's just crazy. Mine was less than 2k, and that includes the wedding dress.",disgust,surprise,surprise,surprise
True. Icing all three of your villains for the duration of the film is a bad idea. They need to be making moves.,anger,anger,anger,anger
OH YEAH ITS FINE,joy,anger,joy,joy
Just sitting in the fast lane fishing for tickets. Ugh.,disgust,disgust,anger,disgust
Your work is amazing! Really like the Rugrat one. The melting style is so cool. Prices are very reasonable for the quality too,joy,joy,joy,joy
Aw poor kid. At least he has a bomb-ass name. Too bad he probably doesn't remember it anymore.,sadness,sadness,sadness,sadness
Is it her turn this time?,surprise,surprise,surprise,surprise
I find that relatable: I too am terrified of myself.,fear,fear,fear,fear
"Like the [NAME] twins, I guess.",neutral,neutral,neutral,neutral
"Oh [NAME], even if I had a bf I would be ashamed to have him do that for ",disgust,fear,disgust,disgust
He already sucks. Let’s just nerf him some more.,disgust,anger,anger,anger
That’s not true. She represents those who voted her into power.,anger,anger,anger,anger
350 calories The large is 20 oz and it’s 140 per 8 oz so 350,neutral,neutral,neutral,neutral
I just got got and I like it,joy,joy,joy,joy
That woman is on the fast track to being ostracized from that group real quick.,disgust,anger,anger,anger
You mean the millions of college grads living with their parents?,sadness,sadness,surprise,sadness
Ooh I might try that,joy,surprise,surprise,surprise
"I’ve been on team [NAME] since he won the axe toss competition after the draft, lol",joy,joy,joy,joy
Playing pig so you can tbag survivors.,joy,anger,neutral,
"Run, run Run for the roses Quicker it opens Sooner it closes Man oh man oh friend of mine All good things in all good time",joy,joy,joy,joy
Don’t say his name!!,fear,anger,fear,fear
"12 years, that's it? Psh I've been dating my gf for 20 and engaged for 10 years",joy,joy,surprise,joy
[NAME] is poor now so it's open season,joy,anger,anger,anger
"I remember when two captured ISIS members were discovered to have ordered a book called ""[RELIGION] for dummies"" from Amazon.",joy,joy,neutral,joy
You've violated rule 4. Please adhere to the rules of engagement.,anger,anger,neutral,anger
> Corporate Media I like this one.,anger,anger,joy,anger
Was Netflix ever $7.99 for HD streaming?,surprise,surprise,surprise,surprise
"Depay being a flop at United comes to mind, so good now.",joy,sadness,joy,joy
"Well, quite. Now I’m all annoyed.",anger,anger,anger,anger
They must have seen you.,neutral,surprise,neutral,neutral
Sign my name to it too lol it was so awful we deserve pain and suffering for that!,joy,sadness,sadness,sadness
"RemindMe! April 26, 2019",neutral,neutral,neutral,neutral
"Hello, Could you try exiting the game and restarting? Please let us know if you're still getting the pop-up afterward. Thanks!",surprise,surprise,joy,surprise
That's the spirit 🤣 for me it's more about strangers wanting to hug me. But you do you 😎,disgust,joy,joy,joy
The absolute subhuman filth that worships [NAME] will believe that this isn't even a photoshop,disgust,disgust,disgust,disgust
Prayers for Dipo you guys. Just had a gruesome injury,sadness,sadness,fear,sadness
"I was impressed by your company in the initial post, but now I see they tried to fire you for their mistake. Glad you had some backing!",anger,joy,joy,joy
This is the same federal government that's been shut down for the last month?,surprise,anger,surprise,surprise
"More insults, [NAME] said my bit now all you have is a show that proves what I said to be the truth, nothing more nothing less.",anger,anger,anger,anger
"So sounds like she was raped, and she seriously needs to press charges, this bartender needs to be raped in prison big time.",disgust,anger,anger,anger
Oh fuck off. Soooo...... when is [NAME] and the gang going to un mask [NAME] as President [NAME]?,anger,anger,anger,anger
I just see two inflated peacocks with a dumb and disgusting look in their face. But unfortunately I am not the gender evaluating them.,disgust,disgust,anger,disgust
I know from personal experience that that can be the end of any good relationship.,sadness,sadness,sadness,sadness
"Haha, no I mean the kind of disposable powerups in a mobile game. Not console/PC games.",joy,joy,neutral,joy
Took me a few time watching it to realize that was a man and not a child.,surprise,surprise,surprise,surprise
"Right? That's news to me. I'll be excited when that happens, I wonder how that works.",surprise,surprise,surprise,surprise
Fucking parking in the middle of the street through the entire strip of Allegheny,anger,anger,anger,anger
I don’t get it. Does r/sardonicast actually believe that BP is highly overrated?,surprise,surprise,surprise,surprise
Can someone put it in slow mo,neutral,surprise,neutral,neutral
"So..the head [NAME], is afraid of being rammed?",surprise,anger,surprise,surprise
Really? I only remember the one in the movie (which did kinda weird me out),surprise,surprise,surprise,surprise
Maybe she was having a bad day. But then again at least say hi.,anger,anger,joy,anger
"I appreciate the dedication, but they really didn't have to be silent for three quarters of the game.",anger,sadness,anger,anger
"I like this, but it doesn’t quite convey the horrifying rotting smell. It sounds sort of cute! She was not lol ",disgust,disgust,joy,disgust
It’s a shame there is no sound lol,sadness,sadness,anger,sadness
That was glorious.,joy,joy,joy,joy
I like it I just wish he’d drop the m and apostrophe,sadness,sadness,neutral,sadness
Impact? I'm merely interested in how low you will sink.,disgust,anger,disgust,disgust
"It makes sense, just don't expect much thanks from the rest of them.",anger,sadness,anger,anger
He always missed that key 3rd down catch to keep the drive alive,sadness,sadness,neutral,sadness
"Beans, yo! I used to hate them but now I sometimes just eat a can of beans for a meal. They are hella filling too.",joy,joy,joy,joy
Apparently we are tragedies!,surprise,anger,anger,anger
Is she worse than [NAME] though?,surprise,disgust,surprise,surprise
What a great response!!,joy,joy,joy,joy
"i see it in a different way, but i understand why you see it like that",neutral,surprise,neutral,neutral
[NAME] YES!!!,joy,joy,joy,joy
Omg I’d happily live in Cape Town instead of the US!! It’s literally one of my favorite cities on earth!!,joy,joy,joy,joy
> and no one but angry community fanboys have pushed back against his statements.,disgust,anger,anger,anger
"Hang on, I'll see if I can find them and then I'll get back to you. :-)",joy,joy,joy,joy
A is just horrifying. If she were to die I’d want her to go painlessly,fear,fear,sadness,fear
Don’t forget sports gambling. THEN we’ll be happy.,neutral,joy,joy,joy
I should have at your list that I only hope he gets elected!,joy,joy,joy,joy
I rly like trench coats Not not in that combination tho,disgust,anger,disgust,disgust
i met the only girl on the planet who can deal with my headass and still look at me and tell me she loves my anyway,joy,joy,joy,joy
I wish AOC was old enough to run for president,joy,sadness,sadness,sadness
This video is so very Polish.,neutral,joy,neutral,neutral
Some aren't. Either way it's a mystery how they obrained so many M1s.,surprise,surprise,surprise,surprise
"Can't wait till the home game in March... And a portland okc playoff series would be ""lit af"" ",joy,joy,joy,joy
But what if he feels like his position is appealing to those the [NAME] have left behind?,surprise,surprise,surprise,surprise
The University of Essex was a mistake. They're not even good at sports.,disgust,anger,anger,anger
Trade up for Haskins. If that doesn't happen give me Greedy.,neutral,joy,neutral,neutral
"And then another guy comments to congratulate him on getting a comment from her, wishing he could one day get the same. Maaan o man. ",disgust,sadness,disgust,disgust
"I almost downvoted you, because “Boooooooo!”",joy,anger,anger,anger
Buy YouTube Likes,neutral,anger,neutral,neutral
a partner of mine made it -- it's just about my favorite meme ever,joy,joy,joy,joy
Lol ik it's just I wanted people to figure it out and not the bot to ruin it.,sadness,sadness,sadness,sadness
"Great game, great soundtrack. He was like 19 or 20 when he did that too.",joy,joy,joy,joy
Ghost them. It’ll drive them crazy and give you the satisfaction,joy,anger,joy,joy
Didn't he steal something ludicrous like a diamond ring? Like is he a cartoon bad guy?,disgust,surprise,surprise,surprise
What a beautiful memory for you to have found. So sorry for your loss ❤️,sadness,sadness,sadness,sadness
"Only the fools would call Saigon the Pear of the Orient, haha. Stop sleeping on the past too much. And stop betraying your country",disgust,anger,anger,anger
In my few years playing I never knew this ... I feel so lost now,sadness,surprise,surprise,surprise
I wish they had what they advertised. The end of that era was sometime in my teens.,sadness,sadness,sadness,sadness
“It’s not happening right in front of me if I don’t look at it.”,anger,anger,fear,anger
"Maybe you should try watching it before commenting on it, otherwise your just posting from a position of ignorance. ",anger,anger,anger,anger
for sure not natty,disgust,anger,disgust,disgust
Please cut her off from your life. You don’t need to deal with this behaviour. Be safe and please take care.,fear,joy,joy,joy
Classic [NAME] right there 🤣,joy,joy,joy,joy
"they sounds like autistic meltdowns triggered by an immense fear of vomiting, nothing much to do",neutral,anger,neutral,neutral
"Haven't listened to today's podcast yet, who did [NAME] kill?",surprise,surprise,surprise,surprise
"No that's plenty, you've already proved the original comments point even further.",joy,anger,neutral,
I'm fully erect tho and I still don't like them,disgust,anger,disgust,disgust
"Counterpoint, ACAB.",disgust,anger,disgust,disgust
I’m tired from working hard and I want someone to snuggle me to sleep,joy,sadness,sadness,sadness
Misogynist! Anti-women! Bigot!,disgust,anger,anger,anger
The one who accidently paid 1 cent less couldn't have just given the other dumb bitch a penny? smdh,anger,anger,anger,anger
Would be better if not for the stupid gas mask. Should have had it's own comissar cap instead!,sadness,anger,anger,anger
I was going for r/truthtoirony,neutral,sadness,neutral,neutral
But the right to not have your property taken away from you is a right.,anger,anger,neutral,anger
"Constitution don't work that way. Burden is always on the Crown, defendant is always presumed innocent. This won't survive the first challenge.",neutral,anger,anger,anger
"That's a good idea, I'm going to have to make some room! Thank you. ",joy,surprise,joy,joy
/u/skyboundIan no spoilers in the trailer pretty please :D,neutral,joy,anger,
To be fair he probably is saying that.,joy,neutral,neutral,neutral
I hope you’re okay. I’m here to talk if you need someone,joy,joy,sadness,joy
Bitch ass n*** [NAME] rooting for [NAME],disgust,anger,anger,anger
For those behind stupid WaPo,disgust,anger,anger,anger
"Damn, I didn’t see any monkeys when I was there! What a ripoff.",anger,anger,anger,anger
::but I like baby bangs:: /tiny voice,joy,fear,joy,joy
"Not really. Also it’s Winnipeg, sorry we don’t have the population of Tokyo...",anger,anger,sadness,anger
"Yay, now we're only down by 7",joy,anger,joy,joy
"Wow, 5 downvotes in 3 minutes. Go you!",disgust,anger,joy,
100% yes. My sister's ex is an actual monster but my niece still sees his family.,joy,joy,disgust,joy
I'M HERE,joy,joy,neutral,joy
"Yeah it’s a repost, I saw this same exact post in a different subreddit couple months ago",anger,joy,neutral,
"Huh. Similar things happen to me. Just my big brother believe that I got the wrong diagnoses and Dad think I am ""cured"".",anger,sadness,surprise,
"Cheers man, will be taking it easy for sure. ",joy,joy,joy,joy
sorry should clarify ... have dinner / drinks and then go our separate ways to other events that night.,neutral,sadness,neutral,neutral
"Yep California, I would've been surprised if they cleared him.",sadness,sadness,surprise,sadness
This dvd must be pretty hard to come by if it’s going for $49... thank you though I appreciate it.,joy,surprise,joy,joy
"Reminds me of ""It's your city!"" back in The Flash 2X08.",joy,joy,neutral,joy
"I'm more than sure we [NAME] lovers feel the same way, her outfits are awful",disgust,disgust,disgust,disgust
Yeah for me it takes me weeks to get over s relapse,neutral,sadness,sadness,sadness
Don't get your hopes up; apparently car seats also cause autism:,disgust,anger,anger,anger
The glorious people's republic of Ulster formed from the ashes of carson's arse hairs,anger,anger,anger,anger
So good.,joy,joy,joy,joy
[NAME] I wish that was a more active sub :(,sadness,sadness,sadness,sadness
"Happy to not only have the same birthday as him, but to also have a ball he threw into the stands after the middle of the 9th inning. ",joy,joy,joy,joy
[NAME] is honestly really badass and he has a great design I hope they give him something good to do in 11,joy,joy,joy,joy
I'm sad can someone make me feel better Feel like shit rn just want [NAME] back,sadness,sadness,sadness,sadness
Who wrote the IQ tests?,surprise,surprise,surprise,surprise
They're probably usually too fixated on how they look to even consider their surroundings,disgust,anger,anger,anger
Remind me! 6 months,neutral,neutral,neutral,neutral
I’d love that luxury of time.,sadness,fear,joy,
Never heard of the artist or the song. But it sounds really great! Thank you for sharing!,joy,joy,joy,joy
What a legend.,joy,joy,joy,joy
He literally laid in pain on the ground after the fight longer than the loser did,joy,joy,anger,joy
Someone on live chat of the reveal stream said how he actually got confused why they were show casing a Scarlet skin,joy,sadness,surprise,
"Almost in tears watching him celebrate, true captain ❤️",joy,joy,joy,joy
Thank goodness for that!,joy,joy,joy,joy
[NAME] will find his form again. I’m keen to see him link up with [NAME],joy,joy,joy,joy
"Wish I had something better for you but best of luck to you, this situation sucks ",sadness,joy,joy,joy
Neko Atsume is a really wholesome and cozy game too!,joy,joy,joy,joy
"Hope you're not [RELIGION], 'cause that ain't kosher... ",disgust,anger,disgust,disgust
Yikes hope hes ok,joy,joy,sadness,joy
Dems can end this. They chose not to.,disgust,anger,disgust,disgust
It also makes me cry! but because it shows how far [NAME] has fallen...,sadness,sadness,sadness,sadness
Wow. I hope that asst manager will be looking for a new job soon.,anger,anger,anger,anger
The best timeline,joy,joy,joy,joy
Does she not know how cups work?,disgust,anger,surprise,
Each season gets better and better with season 3 or something you should go back and see what happened.,joy,joy,joy,joy
Here's a purple heart for you recapping that! OMG matching romantic scoots I'm cryin',joy,joy,joy,joy
This sum GTA 5 type shit right here.,surprise,anger,neutral,
"This is the most scary [NAME] can ever be to me, cause it’s also the most real he could ever be 😂",fear,fear,fear,fear
I'm so sorry that your partner doesn't understand that you no longer want to put hormones in your body.,sadness,sadness,anger,sadness
Her absence is probably the greatest present she can give you. Enjoy it while you can.,joy,anger,anger,anger
Hi I'm a Thrashers fan! My family was 33rd to pick tickets in Atlanta in for the '99 inaugural season,joy,joy,joy,joy
"Which sucks, because it's a *bitch* to find replacements for those.",sadness,sadness,anger,sadness
when my egg cracked I went through like every teen girl phase in the space of 2 months lol,joy,sadness,sadness,sadness
She looks like a televangelist.,disgust,anger,disgust,disgust
This jokes a name changer,neutral,joy,joy,joy
Aaaaaand he will be feeling that in the morning,joy,joy,sadness,joy
If I haven’t told you lately...I love you and you are my hero. ❤️❤️❤️,joy,joy,joy,joy
This comment has been removed for breaking rule #8.,neutral,neutral,neutral,neutral
0% But then again most of us on here aren't placing top 8 at majors so that could factor in,sadness,anger,neutral,
Just rephrased it into two sentences for you. It's a great story!,joy,joy,joy,joy
I agree 100%,joy,joy,joy,joy
"I'm curious though, will they upvote it to own the ~~libs~~ [NAME]?",disgust,anger,surprise,
No lights are a problem for the people in front of you. Not the offender.,anger,anger,anger,anger
Do you want to be promoted to Secreatary of State for the US?,surprise,joy,surprise,surprise
"np, good luck",joy,joy,joy,joy
"Been there, done that. Still alive and remarkably healthy at 51. The body is tremendously resilient",joy,joy,joy,joy
You really going to claim our foreign policy is equivalent to that of Iran and Russia?,anger,anger,surprise,anger
