,text
33349,Also you forget to say how it triggers an Id check which only a assistant can circumvent
2173,It’s pretty cringe
23938,Can you expand a bit? That would be interesting for us that are not in the know.
16388,Feels like bathing in warm piss. Can't wait until summer is over.
13732,Always worth a try. Good luck!
5510,really odd choose with pairing slack and sunfan together. These 2 should always be paired with a high IQ caster
30586,"Anything other than harassing motorists or worse, pretty simple."
858,Haha yeah. But still very nice of Ben I hope that the people who got it will use it 24/7
10139,Then I find writing of us only eating it during winter strange.
32710,lol what? The worst defense in the league? [NAME] its like we're trying to tank.
13770,"To distinguish it from regular, every day, healthy, non-harmful, non-toxic masculinity of course."
25860,Posts like these make it more and more clear how creepy [NAME] is
41416,"What a horrible way to find out, though. My sympathies to the dead man."
46816,It's not *literally* the same investigation.
29440,"I am sure that whatever happens in the end, [NAME] will fuck it up."
29469,"I do not see how that is disgusting. She's cleaning her self and had a discharge, so what? "
5321,"I, personally, am excited to have another agent to make the lab numbers look pretty while the patient dies. "
29300,You’re mean
1281,Let them argue. We've never done anything remotely as bad as MOST OF THE WORLD does routinely.
3998,"A one-line whip is still whipping against, although it is a pretty disappointing decision."
8230,Good loss for the tank. [NAME] and [NAME] played really well.
15575,How she used the entire video without any editing.... that’s copyright
10600,Thank you! That's the explanation I was looking for.
15431,"Same here. And I really dislike strangers and groups, so groups of strangers are a next-level nightmare. "
38886,"Because, “nah you guys go ahead”"
34136,Coincidence vs correlation vs causation
31470,I dislike [NAME] more and more. Big ego and small feet.
19633,My [NAME]. If only
3265,Here’s hoping this ends soon lol
28374,Feeling the hatred towards that person I get. Actually running them off the road and holding them at gunpoint? No way. No way to justify that.
36877,I'm excited as a Lions fan.
18351,If you use one of those two I automatically hate you
10414,"No seriously, why do you have the Daily Mail app on your phone?"
43247,Whoever told you that is lying.
34450,"Where exactly is the irony? His name is not [NAME], and the title, bio, and picture contain no related jokes. "
28948,This is currently my situation with Metal Gear Solid
3608,"Go ahead and take them panties off too, we need this OT goal."
1644,"No, I definitely understand that feel and empathize. That can be hard to deal with. How have you been as of late?"
34428,Thanks! There are so many resources available. Thank you for telling me about one that actually helped you
45314,Haha thanks for the warning but we met with her irl before :D
48156,That is one big pile of cringe.
14257,"I didn't delete it. Your moderators did. But that's what [NAME] do, they "
8070,I'm not really interested in collecting them but I do enjoy watching videos of people who restore old hotwheels.
14252,but time is meaningless
14466,"Wow, you weren't instantly downvoted hundreds of times. The omniscum must have had a salad once and got a protein deficancy."
13423,You weren’t supposed to know. You’re not psychic. He’s being unreasonable
16700,I can’t believe I’m agreeing with [NAME].
27111,Now that you live alone you don't have money left to buy a dishwasher
15946,I’m super proud of him. Great guy!
34600,This is pretty bad advice. Do not use dreams own encryption. And do not use things such as igolder
38811,"Mail Call, great show, have all of 'em preserved for history. RIP"
37822,Would be fun if our sun was like this :3
35632,I totally agree with you. Porn is unnatural and creates honorless cuckolds.
31592,"Oh wow okay, where can I get a wind proof lining beaning or scarf? And do I have to cover my eyes or anything?"
5593,Damn he has a kid with evan rachel wood too. He gets all the honies.
27519,"I am only sharing what my friends said, what their experience was. I found that a bit surprising."
27728,You’ve never shit yourself as an adult?? If an adult can then a kid definitely can
37463,The best part of adult snow days is no make-up!
24343,don't we all hate them?
20896,"Thanks? Lol. Pairing [NAME] or [NAME] with [NAME], defensively, though? Yikes, to say the least."
40672,No doubt would start at wing. We need help there and it would help ease him in
6397,The comment thread is a hot mess and wouldnt be out of place in 2016. How do things not change....
7928,"I would like a link as well, please. :)"
1946,hit or miss would anybody care or miss huh..? aint nobody love me and ma dad also left me yuh...
20263,"Recover well. (Argh, my english is too terrible 🇲🇫)"
35653,"GOW always had combat challenges, they just inegrated it more seemlessly this time, instead of having it in a seperate mode in the menu."
13149,That's great! You got this!
37378,Ohh it gets even more interesting:
13695,What goes up must come down.
22443,Who the fuck leaves a hot iron on the couch
1318,Has anyone else realized that there are 16 [NAME] on this glorious movie poster?
36986,I feel like they missed a good opportunity to make the track in the shape of Texas.
2878,AE think that's looking harder and harder to defend?
32755,Done it since I was a kid I was very edgy
16879,"Oh, a crow... Doh!"
22048,Ugh I am in this same place right now. Dating a husband whose wife calls all the shots. I feel for you.
29863,Big thanks dude! This will really help me out
40863,DAE hate unnecessarily salty people like OP?
9066,"Heads up guys before you scrutinize me, Yes I know it's ED not ER apologies in advance :)"
29289,The only thing I find disconcerting about this is that you use tongs to stir the pan.
38135,Omg saucepan what a daring and unconventional look!!!11
28519,LOL at this question! If he follows the sub...just read the topics for opinions! I call BS!
23010,"And people try to hold that against [NAME] when they should hold that against the Packers organization and Front Office...Their Front Office stopped trying, not [NAME]."
26139,"Don't worry, nobody expects much from you people anyways."
40500,I'm just really sad all that cake was wasted.
45231,The myth is about selling shirts. Signing [NAME] opens up much more money making opportunities like commercials.
1150,Australian here. I hereby agree that this does in fact provoke nightmares.
1398,I wouldn't be surprised if the Cheetos dust was coming out of his sweat.
32601,"Good job! Next, I recommend going NO contact."
3580,[NAME] also tends to out vote [NAME] in polls in my experience
30022,AND KEEP ACKBAR
13411,Man I wish they wouldn’t
14731,"I mean, [NAME] really is downplaying the guys’ friendship. That’s suspect to me."
11636,Love the cheese!
18172,Damn we needed that layup
10823,Mr. [NAME]! Nooooo!
27360,Weird but interesting nonetheless.
42240,"Lmao, this guy is a tool."
17334,"Sicko mode is on a whole new level, it cant be compared."
20970,Such a cool pic! Really wish the moon was in the dead middle though 🙃🙃
16072,If it weren't already so delayed
38060,"Im not in a hurry, its my goal for brawlhalla. But after hearing how many hours people have, its gonna be a long journey"
26325,"If he saw it as something regrettable and possibly embarrassing, and has grown, eh. We all have something embarrassing in our past."
20876,"Liberal circlejerk “ o ya those conservatives suck” 10,000 upvotes"
25889,Them or me? I like to catch up on it in the afternoon and drinking helped with the last few.
35770,I stopped watching after I had to suffer through a whole episode without [NAME] removing his shirt
45207,ift yourself up on your feet! Let's get it on!
441,I've been there. It's one of the most diverse places on Earth.
7355,I don't think that's how shadowy military organizations work [NAME].
16913,"*""Wow""*"
15367,Why are they asking women and nonwhites specifically?
40478,This thread was actually inspired by one of your comments
3013,Oh. Well then.
20431,Looks like modern art tbh but its good
29591,My 2 year old loves Word Party. Story Bots is another good Netflix option.
31877,"[NAME] fan here, He did trade [NAME], it was for a 2018 4th and 2019 7th."
21052,He really do be like that.
32893,Lol always a creepy mike
6543,“Start caring about Reddit downvotes” has to be the weirdest life advice I’ve received in years.
15959,Omg lmfao!!
47623,"Especially given today's hyperawareness of sexual harassment, it seems like the smart thing to do, to me."
21825,the act of using private companies as platforms to push indoctrination is no less vile than state run companies
24003,It would be a crime to not invite him.
22345,"LOL yes, this guy might not be too bright. "
5267,Hahaha I was gonna put one of those but I couldn’t remember what they were
2921,I tried at a joke that relates to the post...
34478,"Thanks, it was no effort at all."
5103,"I used to be subscribed to [NAME] channel. I know we all have troubled pasts, but man..."
46991,No!!! I love emojis 😎😎😁😁😁😁💖🎉
6590,Yeah my guess at this point is either a 2 year bridge or 8x8.
47735,I like where you’re going with this....
47381,Ugh. What a way to go.
28578,"YES [NAME], we're rooting for you! 🎉🎉"
34071,"This picture is a prime example that [NAME] are intolerant douchebags who will always demonize wealth, fame, and entertainment."
12713,The hardship of having the future meet the present. (or something)
5771,Omg it’s like you’re taking the words from my mind.
1116,i still remember by my first dodger game in 2001
27213,Expect the unexpected [NAME] funding secured.
41336,I rarely like or comment on YouTube. But I make hella playlists so I guess I use it more as a tool than a community.
10800,"35k? That's just crazy. Mine was less than 2k, and that includes the wedding dress."
42518,True. Icing all three of your villains for the duration of the film is a bad idea. They need to be making moves.
9242,OH YEAH ITS FINE
15127,Just sitting in the fast lane fishing for tickets. Ugh.
29725,Your work is amazing! Really like the Rugrat one. The melting style is so cool. Prices are very reasonable for the quality too
35231,Aw poor kid. At least he has a bomb-ass name. Too bad he probably doesn't remember it anymore.
7064,Is it her turn this time?
42867,I find that relatable: I too am terrified of myself.
6824,"Like the [NAME] twins, I guess."
26837,"Oh [NAME], even if I had a bf I would be ashamed to have him do that for "
5023,He already sucks. Let’s just nerf him some more.
23628,That’s not true. She represents those who voted her into power.
11330,350 calories The large is 20 oz and it’s 140 per 8 oz so 350
24910,I just got got and I like it
41388,That woman is on the fast track to being ostracized from that group real quick.
11888,You mean the millions of college grads living with their parents?
4783,Ooh I might try that
10188,"I’ve been on team [NAME] since he won the axe toss competition after the draft, lol"
1630,Playing pig so you can tbag survivors.
19847,"Run, run Run for the roses Quicker it opens Sooner it closes Man oh man oh friend of mine All good things in all good time"
2810,Don’t say his name!!
11512,"12 years, that's it? Psh I've been dating my gf for 20 and engaged for 10 years"
24330,[NAME] is poor now so it's open season
44981,"I remember when two captured ISIS members were discovered to have ordered a book called ""[RELIGION] for dummies"" from Amazon."
44461,You've violated rule 4. Please adhere to the rules of engagement.
45696,> Corporate Media I like this one.
33857,Was Netflix ever $7.99 for HD streaming?
25769,"Depay being a flop at United comes to mind, so good now."
45506,"Well, quite. Now I’m all annoyed."
43162,They must have seen you.
39833,Sign my name to it too lol it was so awful we deserve pain and suffering for that!
27375,"RemindMe! April 26, 2019"
41626,"Hello, Could you try exiting the game and restarting? Please let us know if you're still getting the pop-up afterward. Thanks!"
1753,That's the spirit 🤣 for me it's more about strangers wanting to hug me. But you do you 😎
26283,The absolute subhuman filth that worships [NAME] will believe that this isn't even a photoshop
25367,Prayers for Dipo you guys. Just had a gruesome injury
30972,"I was impressed by your company in the initial post, but now I see they tried to fire you for their mistake. Glad you had some backing!"
37771,This is the same federal government that's been shut down for the last month?
15698,"More insults, [NAME] said my bit now all you have is a show that proves what I said to be the truth, nothing more nothing less."
7846,"So sounds like she was raped, and she seriously needs to press charges, this bartender needs to be raped in prison big time."
20131,Oh fuck off. Soooo...... when is [NAME] and the gang going to un mask [NAME] as President [NAME]?
39328,I just see two inflated peacocks with a dumb and disgusting look in their face. But unfortunately I am not the gender evaluating them.
25799,I know from personal experience that that can be the end of any good relationship.
27580,"Haha, no I mean the kind of disposable powerups in a mobile game. Not console/PC games."
1133,Took me a few time watching it to realize that was a man and not a child.
32840,"Right? That's news to me. I'll be excited when that happens, I wonder how that works."
45455,Fucking parking in the middle of the street through the entire strip of Allegheny
6989,I don’t get it. Does r/sardonicast actually believe that BP is highly overrated?
23908,Can someone put it in slow mo
5571,"So..the head [NAME], is afraid of being rammed?"
4013,Really? I only remember the one in the movie (which did kinda weird me out)
1752,Maybe she was having a bad day. But then again at least say hi.
48084,"I appreciate the dedication, but they really didn't have to be silent for three quarters of the game."
44500,"I like this, but it doesn’t quite convey the horrifying rotting smell. It sounds sort of cute! She was not lol "
34108,It’s a shame there is no sound lol
9340,That was glorious.
27482,I like it I just wish he’d drop the m and apostrophe
44314,Impact? I'm merely interested in how low you will sink.
38895,"It makes sense, just don't expect much thanks from the rest of them."
36078,He always missed that key 3rd down catch to keep the drive alive
48079,"Beans, yo! I used to hate them but now I sometimes just eat a can of beans for a meal. They are hella filling too."
43072,Apparently we are tragedies!
14738,Is she worse than [NAME] though?
30744,What a great response!!
5778,"i see it in a different way, but i understand why you see it like that"
13583,[NAME] YES!!!
7175,Omg I’d happily live in Cape Town instead of the US!! It’s literally one of my favorite cities on earth!!
17061,> and no one but angry community fanboys have pushed back against his statements.
21748,"Hang on, I'll see if I can find them and then I'll get back to you. :-)"
12211,A is just horrifying. If she were to die I’d want her to go painlessly
9488,Don’t forget sports gambling. THEN we’ll be happy.
26434,I should have at your list that I only hope he gets elected!
3798,I rly like trench coats Not not in that combination tho
13627,i met the only girl on the planet who can deal with my headass and still look at me and tell me she loves my anyway
16400,I wish AOC was old enough to run for president
19088,This video is so very Polish.
40796,Some aren't. Either way it's a mystery how they obrained so many M1s.
46684,"Can't wait till the home game in March... And a portland okc playoff series would be ""lit af"" "
29420,But what if he feels like his position is appealing to those the [NAME] have left behind?
28816,The University of Essex was a mistake. They're not even good at sports.
40075,Trade up for Haskins. If that doesn't happen give me Greedy.
26247,"And then another guy comments to congratulate him on getting a comment from her, wishing he could one day get the same. Maaan o man. "
3157,"I almost downvoted you, because “Boooooooo!”"
44641,Buy YouTube Likes
6293,a partner of mine made it -- it's just about my favorite meme ever
16820,Lol ik it's just I wanted people to figure it out and not the bot to ruin it.
26889,"Great game, great soundtrack. He was like 19 or 20 when he did that too."
39160,Ghost them. It’ll drive them crazy and give you the satisfaction
29730,Didn't he steal something ludicrous like a diamond ring? Like is he a cartoon bad guy?
40509,What a beautiful memory for you to have found. So sorry for your loss ❤️
8854,"Only the fools would call Saigon the Pear of the Orient, haha. Stop sleeping on the past too much. And stop betraying your country"
10856,In my few years playing I never knew this ... I feel so lost now
48199,I wish they had what they advertised. The end of that era was sometime in my teens.
1454,“It’s not happening right in front of me if I don’t look at it.”
4136,"Maybe you should try watching it before commenting on it, otherwise your just posting from a position of ignorance. "
28786,for sure not natty
18694,Please cut her off from your life. You don’t need to deal with this behaviour. Be safe and please take care.
25684,Classic [NAME] right there 🤣
27971,"they sounds like autistic meltdowns triggered by an immense fear of vomiting, nothing much to do"
3253,"Haven't listened to today's podcast yet, who did [NAME] kill?"
12475,"No that's plenty, you've already proved the original comments point even further."
9324,I'm fully erect tho and I still don't like them
46936,"Counterpoint, ACAB."
10190,I’m tired from working hard and I want someone to snuggle me to sleep
11965,Misogynist! Anti-women! Bigot!
46391,The one who accidently paid 1 cent less couldn't have just given the other dumb bitch a penny? smdh
28630,Would be better if not for the stupid gas mask. Should have had it's own comissar cap instead!
24990,I was going for r/truthtoirony
31313,But the right to not have your property taken away from you is a right.
33165,"Constitution don't work that way. Burden is always on the Crown, defendant is always presumed innocent. This won't survive the first challenge."
48024,"That's a good idea, I'm going to have to make some room! Thank you. "
26105,/u/skyboundIan no spoilers in the trailer pretty please :D
13020,To be fair he probably is saying that.
37069,I hope you’re okay. I’m here to talk if you need someone
38732,Bitch ass n*** [NAME] rooting for [NAME]
10163,For those behind stupid WaPo
17563,"Damn, I didn’t see any monkeys when I was there! What a ripoff."
48865,::but I like baby bangs:: /tiny voice
38150,"Not really. Also it’s Winnipeg, sorry we don’t have the population of Tokyo..."
1900,"Yay, now we're only down by 7"
39452,"Wow, 5 downvotes in 3 minutes. Go you!"
25204,100% yes. My sister's ex is an actual monster but my niece still sees his family.
40107,I'M HERE
37932,"Yeah it’s a repost, I saw this same exact post in a different subreddit couple months ago"
8127,"Huh. Similar things happen to me. Just my big brother believe that I got the wrong diagnoses and Dad think I am ""cured""."
16236,"Cheers man, will be taking it easy for sure. "
1727,sorry should clarify ... have dinner / drinks and then go our separate ways to other events that night.
42790,"Yep California, I would've been surprised if they cleared him."
27483,This dvd must be pretty hard to come by if it’s going for $49... thank you though I appreciate it.
41632,"Reminds me of ""It's your city!"" back in The Flash 2X08."
6658,"I'm more than sure we [NAME] lovers feel the same way, her outfits are awful"
14535,Yeah for me it takes me weeks to get over s relapse
22613,Don't get your hopes up; apparently car seats also cause autism:
6897,The glorious people's republic of Ulster formed from the ashes of carson's arse hairs
34992,So good.
40343,[NAME] I wish that was a more active sub :(
34808,"Happy to not only have the same birthday as him, but to also have a ball he threw into the stands after the middle of the 9th inning. "
13768,[NAME] is honestly really badass and he has a great design I hope they give him something good to do in 11
43283,I'm sad can someone make me feel better Feel like shit rn just want [NAME] back
40215,Who wrote the IQ tests?
38491,They're probably usually too fixated on how they look to even consider their surroundings
28932,Remind me! 6 months
6748,I’d love that luxury of time.
13403,Never heard of the artist or the song. But it sounds really great! Thank you for sharing!
10852,What a legend.
10681,He literally laid in pain on the ground after the fight longer than the loser did
24907,Someone on live chat of the reveal stream said how he actually got confused why they were show casing a Scarlet skin
43692,"Almost in tears watching him celebrate, true captain ❤️"
12897,Thank goodness for that!
7717,[NAME] will find his form again. I’m keen to see him link up with [NAME]
22649,"Wish I had something better for you but best of luck to you, this situation sucks "
27994,Neko Atsume is a really wholesome and cozy game too!
43342,"Hope you're not [RELIGION], 'cause that ain't kosher... "
14005,Yikes hope hes ok
11739,Dems can end this. They chose not to.
43785,It also makes me cry! but because it shows how far [NAME] has fallen...
12079,Wow. I hope that asst manager will be looking for a new job soon.
32313,The best timeline
29539,Does she not know how cups work?
44899,Each season gets better and better with season 3 or something you should go back and see what happened.
44370,Here's a purple heart for you recapping that! OMG matching romantic scoots I'm cryin'
13421,This sum GTA 5 type shit right here.
25030,"This is the most scary [NAME] can ever be to me, cause it’s also the most real he could ever be 😂"
37850,I'm so sorry that your partner doesn't understand that you no longer want to put hormones in your body.
22525,Her absence is probably the greatest present she can give you. Enjoy it while you can.
47552,Hi I'm a Thrashers fan! My family was 33rd to pick tickets in Atlanta in for the '99 inaugural season
8905,"Which sucks, because it's a *bitch* to find replacements for those."
3812,when my egg cracked I went through like every teen girl phase in the space of 2 months lol
29631,She looks like a televangelist.
46368,This jokes a name changer
16685,Aaaaaand he will be feeling that in the morning
3459,If I haven’t told you lately...I love you and you are my hero. ❤️❤️❤️
33269,This comment has been removed for breaking rule #8.
29125,0% But then again most of us on here aren't placing top 8 at majors so that could factor in
4495,Just rephrased it into two sentences for you. It's a great story!
22670,I agree 100%
419,"I'm curious though, will they upvote it to own the ~~libs~~ [NAME]?"
27478,No lights are a problem for the people in front of you. Not the offender.
35751,Do you want to be promoted to Secreatary of State for the US?
18032,"np, good luck"
8010,"Been there, done that. Still alive and remarkably healthy at 51. The body is tremendously resilient"
7016,You really going to claim our foreign policy is equivalent to that of Iran and Russia?
36945,this sort of creativity is awesome to see. play calling done right. chargers going to stomp the pats this weekend
23969,Ha jokes on you guys we still use paper charts
14336,"I find it sadly ironic that a man's job is to protect his family, yet if he's alone with his children they question their safety."
43912,Maybe you just enjoy the process of digging? Does it have to be somebody you’re attracted to or have you tried stalking a random person?
36067,"I let my cat lick the leftover milk out of the bowl after I eat cereal, he loves it. "
21969,"They can all argue as much as they want, life simply doesn't work that way. lol"
38144,Lol I do the same. Sometimes it gets stuck in my head for days.
29388,I know plenty of [NAME] that look down on 中国人 Like they’ve forgotten the whole reason Singapore exists
6013,"I know right, im pre everything but sometimes i paint my nails and people will tell me how much they look like a womands hands."
32026,Try to be rational instead of angry.
45514,I don’t care about this mission Texas stuff
11105,Funny how it do
8958,I'll miss the podcast
20205,Could you imagine the outrage if Canada rescued one of our citizens from the Saudi courts
41654,You’re an inspiration
24844,Idk if I want [NAME] back but I agree with [NAME] ONLY if he keeps playing at this level by the end of he season.
16951,Just doesn't really work if the DM doesn't want it to...
18777,"As much as I love the dodgers, I can’t see them in the World Series 3 times in a row... so yeah, backwards."
37845,"I don’t have a problem with diversity, I just wish it wasn’t so **obvious**"
16025,I fat fingered it haha I meant 18
45020,Ooh! I quite like the swimming pool of makeup as well.
34360,I feel retarded because i laughed
1263,"> You first. Really. I have. I reject both, but I can do it separately because they're not necessarily correlated beliefs."
16561,It is if you're a loose spool.
2437,Yeah I know u irl you look like ur 36.
1686,I'M SHERRIFF JOHN BUNNELL
7867,Zionism is the ISIS of [RELIGION]. Brainwashed idiots like ISIS.
35142,"Sadly, it was not"
16031,I love to see the Celtics give up [NAME] and [NAME] only to have [NAME] walk to literally any other team
8021,This wasn’t last year. It was last century! Star Wars had just come out!
11894,I did this with tuna salad. I already ate tuna a lot (at the time) and it’s a decently blank slate.
32032,I love how dramatic it is. It's perfectly self aware
22189,I am so relieved
45855,I sense no awful taste here.
8932,Want to get a hangover there 👍🕺❤️
